Site	Scale	Scalea	Scalenum	Date	Datenum	Datee	Sentinel	Eggs	Larvae	SL	LL	Pupae	Adult	allcw	immature	Aphid	Defol	Substrate	Totalne	Totalparasitoid	Totalonlyattackcw	Totalshannon	Totalstigma	Totalpred	Totalnenew
28	Community	Community garden	1	Jun. 16	A	1	N	15	0	0	0	0	1	16	15	0	6	Raised	50	28	23	1.8140524	3	25	53
14	Community	Community garden	1	Jun. 16	A	1	N	7	0	0	0	1	0	8	8	5	6	Raised	75	39	25	1.7855969	6	37	76
7	Community	Community garden	1	Jun. 16	A	1	N	20	0	0	0	0	1	21	20	5	22	Raised	104	46	31	1.7005349	14	45	91
10	Community	Community garden	1	Jun. 16	A	1	N	27	1	1	0	0	0	28	28	0	26	Raised	79	47	23	1.4770943	26	23	70
27	Community	Community garden	1	Jun. 16	A	1	N	8	0	0	0	0	0	8	8	0	24	Ground	86	52	39	2.1805792	4	36	88
25	Community	Community garden	1	Jun. 16	A	1	N	0	0	0	0	0	0	0	0	11	18	Raised	115	57	45	1.9923662	8	62	119
30	Community	Community garden	1	Jun. 16	A	1	N	3	0	0	0	1	0	4	4	0	2	Ground	73	59	32	1.997088	8	38	97
11	Community	Community garden	1	Jun. 16	A	1	N	0	0	0	0	0	1	1	0	6	10	Raised	144	74	65	2.6070945	4	44	118
22	Community	Community garden	1	Jun. 16	A	1	N	12	1	1	0	0	1	14	13	76	18	Raised	99	84	76	2.5437089	1	25	109
16	Farm	Farm	2	Jun. 16	A	1	N	3	0	0	0	0	1	4	3	7	4	Ground	89	18	41	2.2555359	24	21	39
9	Farm	Farm	2	Jun. 16	A	1	N	2	1	1	0	1	1	5	4	0	16	Ground	41	23	24	2.1915651	0	26	49
24	Farm	Farm	2	Jun. 16	A	1	N	2	1	0	0	0	1	4	3	27	12	Ground	40	25	15	1.451199	11	20	45
3	Farm	Farm	2	Jun. 16	A	1	N	0	0	0	0	0	1	1	0	0	4	Ground	105	25	18	1.129286	3	88	113
18	Farm	Farm	2	Jun. 16	A	1	N	1	0	0	0	0	0	1	1	0	38	Raised	78	44	27	1.6447923	13	25	69
23	Farm	Farm	2	Jun. 16	A	1	N	4	0	0	0	0	0	4	4	0	16	Raised	153	71	52	1.9929546	15	111	182
2	Farm	Farm	2	Jun. 16	A	1	N	0	0	0	0	0	1	1	0	1	0	Ground	189	122	39	1.7104667	88	45	167
4	Farm	Farm	2	Jun. 16	A	1	N	12	1	1	0	0	6	19	13	0	14	Ground	150	158	118	1.4175431	37	15	173
21	Residential	Residential garden	3	Jun. 16	A	1	N	0	0	0	0	0	0	0	0	0	0	Raised	47	28	31	1.5485232	1	10	38
20	Residential	Residential garden	3	Jun. 16	A	1	N	2	0	0	0	0	0	2	2	0	10	Ground	63	29	27	1.8236553	2	22	51
6	Residential	Residential garden	3	Jun. 16	A	1	N	0	0	0	0	0	0	0	0	0	0	Raised	45	36	34	1.7106054	0	11	47
8	Residential	Residential garden	3	Jun. 16	A	1	N	0	0	0	0	0	0	0	0	0	0	Ground	65	45	38	2.2372598	2	32	77
